Family:,Subfamily:,Country:,Province:,Genus:,Species:,View:,Filename:
Buprestidae,/,Vietnam,Lang Son,Chrysochroa,buqueti,Dorsal,rbi_56.jpg
Buprestidae,/,Vietnam,Annam,Chrysochroa,buqueti,Dorsal,rbi_57.jpg
Buprestidae,/,India,Assam,Chrysochroa,buqueti,Dorsal,rbi_58.jpg
Buprestidae,/,Vietnam,Annam,Chrysochroa,buqueti,Dorsal,rbi_59.jpg
Buprestidae,/,Indonesia,Java,Chrysochroa,caroli,Dorsal,rbi_60.jpg
Buprestidae,/,India,Andaman Islands,Chrysochroa,catoxantha,Dorsal,rbi_61.jpg
Buprestidae,/,India,Andaman Islands,Chrysochroa,catoxantha,Dorsal,rbi_62.jpg
Buprestidae,/,Indonesia,Sulawesi,Chrysochroa,crhysoides,Dorsal,rbi_63.jpg
Buprestidae,/,India,Kerala,Chrysochroa,cuprascens,Dorsal,rbi_64.jpg
Buprestidae,/,Malaysia,Pahang,Chrysochroa,ephippigera,Dorsal,rbi_65.jpg
Buprestidae,/,Malaysia,Pahang,Chrysochroa,ephippigera,Ventral,rbi_66.jpg
Buprestidae,/,Philippines,Mindanao,Chrysochroa,fulminans,Dorsal,rbi_67.jpg
Buprestidae,/,Sri Lanka,/,Chrysochroa,ignita,Dorsal,rbi_68.jpg
Buprestidae,/,Indonesia,Maluku,Chrysochroa,kaupii,Dorsal,rbi_69.jpg
Buprestidae,/,Philippines,Romblon,Chrysochroa,kraussei,Ventral,rbi_70.jpg
Buprestidae,/,Philippines,Romblon,Chrysochroa,kraussei,Dorsal,rbi_71.jpg
Buprestidae,/,Namibia,/,Chrysochroa,lepida,Dorsal,rbi_72.jpg
Buprestidae,/,Namibia,/,Chrysochroa,lepida,Ventral,rbi_73.jpg
Buprestidae,/,/,/,Chrysochroa,mniszechi,Dorsal,rbi_74.jpg
Buprestidae,/,/,/,Chrysochroa,purpureiventris,Dorsal,rbi_75.jpg
Buprestidae,/,India,Rajasthan,Chrysochroa,sublineata,Dorsal,rbi_76.jpg
Buprestidae,/,India,Rajasthan,Chrysochroa,unidentata,Dorsal,rbi_77.jpg
Buprestidae,/,India,Rajasthan,Chrysochroa,unidentata,Ventral,rbi_78.jpg
Buprestidae,/,Thailand,Loei,Chrysochroa,vittata,Dorsal,rbi_79.jpg
Buprestidae,/,Thailand,Loei,Chrysochroa,vittata,Ventral,rbi_80.jpg
Buprestidae,/,Papua New Guinea,/,Chrysodema,lottinii,Dorsal,rbi_81.jpg
Buprestidae,/,Philippines,Mindanao,Chrysodema,mniszechi,Dorsal,rbi_82.jpg
Buprestidae,/,/,/,Chrysodema,radians,Dorsal,rbi_83.jpg
Buprestidae,/,Indonesia,Maluku,Chrysodema,smaragdula,Dorsal,rbi_84.jpg
Buprestidae,/,Brazil,Amazonas,Colobogaster,semisuturalis,Ventral,rbi_85.jpg
Buprestidae,/,French Guiana,/,Conognatha,iris,Dorsal,rbi_86.jpg
Buprestidae,/,/,/,Conognatha,vulnerata,Dorsal,rbi_87.jpg
Buprestidae,/,Australia,New South Wales,Curis,caloptera,Dorsal,rbi_88.jpg
Buprestidae,/,Australia,New South Wales,Curis,caloptera,Dorsal,rbi_89.jpg
Buprestidae,/,Australia,Queensland,Curis,viridicyanea,Dorsal,rbi_90.jpg
Buprestidae,/,Australia,Queensland,Curis,viridicyanea,Dorsal,rbi_91.jpg
Buprestidae,/,Australia,Queensland,Curis,viridicyanea,Dorsal,rbi_92.jpg
Buprestidae,/,Papua New Guinea,/,Cyphogastra,albertii,Dorsal,rbi_93.jpg
Buprestidae,/,Indonesia,Tanimbar Islands,Cyphogastra,buyri,Dorsal,rbi_94.jpg
Buprestidae,/,Indonesia,Maluku,Cyphogastra,callipyga,Dorsal,rbi_95.jpg
Buprestidae,/,Indonesia,Java,Cyphogastra,farinosa,Lateral,rbi_96.jpg
Buprestidae,/,Indonesia,Java,Cyphogastra,farinosa,Dorsal,rbi_97.jpg
Buprestidae,/,Indonesia,Maluku,Cyphogastra,javanica,Dorsal,rbi_98.jpg
Buprestidae,/,Australia,Western Australia,Cyphogastra,pistor,Dorsal,rbi_99.jpg
Buprestidae,/,Australia,Western Australia,Cyphogastra,pistor,Dorsal,rbi_100.jpg
Buprestidae,/,Australia,/,Cyphogastra,vulnerata,Dorsal,rbi_101.jpg
Buprestidae,/,Australia,/,Cyphogastra,vulnerata,Ventral,rbi_102.jpg
Buprestidae,/,Indonesia,Maluku,Cyphogenia,javanica,Dorsal,rbi_103.jpg
Buprestidae,/,Australia,New South Wales,Cyria,australis,Dorsal,rbi_104.jpg
Buprestidae,/,Australia,New South Wales,Cyria,australis,Dorsal,rbi_105.jpg
Buprestidae,/,Australia,New South Wales,Cyria,australis,Dorsal,rbi_106.jpg
Buprestidae,/,Australia,New South Wales,Cyria,australis,Dorsal,rbi_107.jpg
Buprestidae,/,Australia,New South Wales,Cyria,australis,Ventral,rbi_108.jpg
Buprestidae,/,Australia,Western Australia,Cyria,vittigera,Dorsal,rbi_109.jpg
Buprestidae,/,Australia,Western Australia,Cyria,vittigera,Lateral,rbi_110.jpg
Buprestidae,/,/,/,Damarsila,albicincta,Dorsal,rbi_111.jpg
Buprestidae,/,"Tanzania, United Republic of",/,Damarsila,amaurotica,Dorsal,rbi_112.jpg
Buprestidae,/,"Tanzania, United Republic of",/,Damarsila,amaurotica,Dorsal,rbi_113.jpg
Buprestidae,/,Namibia,/,Damarsila,foveicollis,Ventral,rbi_114.jpg
Buprestidae,/,Namibia,/,Damarsila,foveicollis,Dorsal,rbi_115.jpg
Buprestidae,/,"Congo, The Democratic Republic of the",/,Damarsila,gorila,Dorsal,rbi_116.jpg
Buprestidae,/,"Congo, The Democratic Republic of the",Katanga,Damarsila,pupillata,Dorsal,rbi_117.jpg
Buprestidae,/,Australia,New South Wales,Diadoxus,scalaris,Dorsal,rbi_118.jpg
Buprestidae,/,Seychelles,La Digue,Dicercomorpha,alluaudi,Dorsal,rbi_119.jpg
Buprestidae,/,Philippines,/,Dicercomorpha,argenteoguttata,Dorsal,rbi_120.jpg
Buprestidae,/,India,Andaman Islands,Dicercomorpha,farinosa,Dorsal,rbi_121.jpg
Buprestidae,/,Philippines,/,Dicercomorpha,mutabilis,Dorsal,rbi_122.jpg
Buprestidae,/,Chile,TarapacÃ¡,Ectogonia,angulicollis,Dorsal,rbi_123.jpg
Buprestidae,/,Chile,Coquimbo,Ectogonia,buqueti,Dorsal,rbi_124.jpg
Buprestidae,/,/,/,Hiperantha,testacea,Dorsal,rbi_125.jpg
Buprestidae,/,/,/,Hiperantha,testacea,Ventral,rbi_126.jpg
Buprestidae,/,United States,California,Hippomelas,planicosta,Dorsal,rbi_127.jpg
Buprestidae,/,United States,California,Hippomelas,planicosta,Lateral,rbi_128.jpg
Buprestidae,/,Mexico,Chihuahua,Hippomelas,planicosta,Dorsal,rbi_129.jpg
Buprestidae,/,Australia,Queensland,Iridotaenia,bellicosa,Dorsal,rbi_130.jpg
Buprestidae,/,India,Kerala,Iridotaenia,blanchardii,Dorsal,rbi_131.jpg
Buprestidae,/,Australia,Western Australia,Julodimorpha,backewelli,Dorsal,rbi_132.jpg
Buprestidae,/,Australia,Western Australia,Julodimorpha,backewelli,Lateral,rbi_133.jpg
Buprestidae,/,Turkmenistan,Kopet Dagh,Julodis,albomaculata,Dorsal,rbi_134.jpg
Buprestidae,/,Turkmenistan,Kopet Dagh,Julodis,albomaculata,Lateral,rbi_135.jpg
Buprestidae,/,Turkmenistan,Kopet Dagh,Julodis,albomaculata,Dorsal,rbi_136.jpg
Buprestidae,/,South Africa,Cape Province,Julodis,cirrosa,Dorsal,rbi_137.jpg
Buprestidae,/,South Africa,Cape Province,Julodis,gariepina,Dorsal,rbi_138.jpg
Buprestidae,/,South Africa,Cape Province,Julodis,humeralis,Dorsal,rbi_139.jpg
Buprestidae,/,Italy,Sicily,Julodis,onopordi,Dorsal,rbi_141.jpg
Buprestidae,/,South Africa,/,Julodis,sulcicollis,Lateral,rbi_143.jpg
Buprestidae,/,South Africa,/,Julodis,sulcicollis,Dorsal,rbi_144.jpg
Buprestidae,/,South Africa,/,Julodis,sulcicollis,Lateral,rbi_145.jpg
Buprestidae,/,South Africa,/,Julodis,sulcicollis,Dorsal,rbi_146.jpg
Buprestidae,/,Turkey,/,Julodis,variolaris,Dorsal,rbi_147.jpg
Buprestidae,/,South Africa,/,Julodis,viridipes,Dorsal,rbi_148.jpg
Buprestidae,/,South Africa,/,Julodis,viridipes,Lateral,rbi_149.jpg
Buprestidae,/,Papua New Guinea,Bougainville Island,Metataenia,clotildae,Dorsal,rbi_150.jpg
Buprestidae,/,Indonesia,South Sulawesi,Metataenia,quadrisignata,Dorsal,rbi_151.jpg
Buprestidae,/,Papua New Guinea,Morobe,Metaxiphora,meecki,Dorsal,rbi_152.jpg
Buprestidae,/,Papua New Guinea,Morobe,Paracupta,auricollis,Dorsal,rbi_153.jpg
Buprestidae,/,United Kingdom,Hebrides,Paracupta,hoscheki,Lateral,rbi_154.jpg
Buprestidae,/,United Kingdom,Hebrides,Paracupta,hoscheki,Dorsal,rbi_155.jpg
Buprestidae,/,Indonesia,North Sumatra,Phylocteanus,maitlandi,Dorsal,rbi_156.jpg
Buprestidae,/,Madagascar,/,Polybothris,acuminata,Dorsal,rbi_157.jpg
Buprestidae,/,Madagascar,/,Polybothris,aequalis,Dorsal,rbi_158.jpg
Buprestidae,/,Madagascar,/,Polybothris,aequalis,Ventral,rbi_159.jpg
Buprestidae,/,Madagascar,/,Polybothris,alboplagiata,Dorsal,rbi_160.jpg
Buprestidae,/,Madagascar,/,Polybothris,amorpha,Dorsal,rbi_161.jpg
Buprestidae,/,Madagascar,/,Polybothris,amorpha,Ventral,rbi_162.jpg
Buprestidae,/,Madagascar,/,Polybothris,amorpha,Lateral,rbi_163.jpg
Buprestidae,/,Madagascar,/,Polybothris,analis,Dorsal,rbi_164.jpg
Buprestidae,/,Madagascar,/,Polybothris,analis,Dorsal,rbi_165.jpg
Buprestidae,/,Madagascar,/,Polybothris,analis,Ventral,rbi_166.jpg
Buprestidae,/,Madagascar,/,Polybothris,analis,Ventral,rbi_167.jpg
Buprestidae,/,Madagascar,/,Polybothris,aureospila,Dorsal,rbi_168.jpg
Buprestidae,/,Madagascar,/,Polybothris,aureospila,Ventral,rbi_169.jpg
Buprestidae,/,Madagascar,/,Polybothris,auriventris,Dorsal,rbi_170.jpg
Buprestidae,/,Madagascar,/,Polybothris,auriventris,Ventral,rbi_171.jpg
Buprestidae,/,Madagascar,/,Polybothris,auropicta,Dorsal,rbi_172.jpg
Buprestidae,/,Madagascar,/,Polybothris,deyrollei,Dorsal,rbi_173.jpg
Buprestidae,/,Madagascar,/,Polybothris,dilatata,Dorsal,rbi_174.jpg
Buprestidae,/,Madagascar,/,Polybothris,dilatata,Ventral,rbi_175.jpg
Buprestidae,/,Madagascar,/,Polybothris,expansicollis,Dorsal,rbi_176.jpg
Buprestidae,/,Madagascar,/,Polybothris,expansicollis,Ventral,rbi_177.jpg
Buprestidae,/,Madagascar,/,Polybothris,funebris,Dorsal,rbi_178.jpg
Buprestidae,/,Madagascar,/,Polybothris,grandidieri,Dorsal,rbi_179.jpg
Buprestidae,/,Madagascar,/,Polybothris,grandidieri,Ventral,rbi_180.jpg
Buprestidae,/,Madagascar,/,Polybothris,hildebrandti,Dorsal,rbi_181.jpg
Buprestidae,/,Madagascar,/,Polybothris,hildebrandti,Ventral,rbi_182.jpg
Buprestidae,/,Madagascar,/,Polybothris,lellievri,Dorsal,rbi_183.jpg
Buprestidae,/,Madagascar,/,Polybothris,luctuozi,Ventral,rbi_184.jpg
Buprestidae,/,Madagascar,/,Polybothris,luctuozi,Dorsal,rbi_185.jpg
Buprestidae,/,Madagascar,/,Polybothris,navicularis,Dorsal,rbi_186.jpg
Buprestidae,/,Madagascar,/,Polybothris,navicularis,Ventral,rbi_187.jpg
Buprestidae,/,Madagascar,/,Polybothris,obtusa,Dorsal,rbi_188.jpg
Buprestidae,/,Madagascar,/,Polybothris,obtusa,Ventral,rbi_189.jpg
Buprestidae,/,Madagascar,/,Polybothris,ochreata,Dorsal,rbi_190.jpg
Buprestidae,/,Madagascar,/,Polybothris,ochreata,Dorsal,rbi_191.jpg
Buprestidae,/,Madagascar,/,Polybothris,ochreata,Dorsal,rbi_192.jpg
Buprestidae,/,Madagascar,/,Polybothris,ochreata,Ventral,rbi_193.jpg
Buprestidae,/,Madagascar,/,Polybothris,scapularis,Dorsal,rbi_194.jpg
Buprestidae,/,Madagascar,/,Polybothris,scapularis,Ventral,rbi_195.jpg
Buprestidae,/,Madagascar,/,Polybothris,semipolita,Dorsal,rbi_196.jpg
Buprestidae,/,Madagascar,/,Polybothris,semipolita,Ventral,rbi_197.jpg
Buprestidae,/,Madagascar,/,Polybothris,sumptuosa,Dorsal,rbi_198.jpg
Buprestidae,/,Madagascar,/,Polybothris,sumptuosa,Dorsal,rbi_199.jpg
Buprestidae,/,Madagascar,/,Polybothris,sumptuosa,Dorsal,rbi_200.jpg
Buprestidae,/,Madagascar,/,Polybothris,sumptuosa,Ventral,rbi_201.jpg
Buprestidae,/,Madagascar,/,Polybothris,sumptuosa,Ventral,rbi_202.jpg
Buprestidae,/,Madagascar,/,Polybothris,sumptuosa,Ventral,rbi_203.jpg
Carabidae,/,South Africa,Transvaal,Baeoglossa,villosa,Dorsal,rbi_329.jpg
Buprestidae,/,Madagascar,Betafo District,Polybothris,sumptuosa,Dorsal,rbi_204.jpg
Buprestidae,/,Madagascar,Betafo District,Polybothris,sumptuosa,Ventral,rbi_205.jpg
Buprestidae,/,Madagascar,Betafo District,Polybothris,sumptuosa,Ventral,rbi_206.jpg
Buprestidae,/,Madagascar,Betafo District,Polybothris,sumptuosa,Dorsal,rbi_207.jpg
Buprestidae,/,Madagascar,/,Polybothris,sumptuosa,Dorsal,rbi_208.jpg
Buprestidae,/,Madagascar,/,Polybothris,sumptuosa,Ventral,rbi_209.jpg
Buprestidae,/,Madagascar,/,Polybothris,sumptuosa,Dorsal,rbi_210.jpg
Buprestidae,/,Madagascar,/,Polybothris,sumptuosa,Ventral,rbi_211.jpg
Buprestidae,/,Madagascar,/,Polybothris,sumptuosa,Dorsal,rbi_212.jpg
Buprestidae,/,Madagascar,/,Polybothris,sumptuosa,Ventral,rbi_213.jpg
Buprestidae,/,Madagascar,/,Polybothris,zygaena,Dorsal,rbi_214.jpg
Buprestidae,/,Australia,Queensland,Pseudotaenia,ajax,Ventral,rbi_215.jpg
Buprestidae,/,Australia,Queensland,Pseudotaenia,ajax,Dorsal,rbi_216.jpg
Buprestidae,/,Australia,Western Australia,Pseudotaenia,gigas,Dorsal,rbi_217.jpg
Buprestidae,/,Australia,Western Australia,Pseudotaenia,gigas,Ventral,rbi_218.jpg
Buprestidae,/,Australia,Queensland,Pseudotaenia,quadrisignata,Dorsal,rbi_219.jpg
Buprestidae,/,Australia,Queensland,Pseudotaenia,quadrisignata,Ventral,rbi_220.jpg
Buprestidae,/,Australia,Queensland,Pseudotaenia,salamandra,Dorsal,rbi_221.jpg
Buprestidae,/,Australia,Queensland,Pseudotaenia,salamandra,Ventral,rbi_222.jpg
Buprestidae,/,India,Tamil Nadu,Psiloptera,fastuosa,Dorsal,rbi_223.jpg
Buprestidae,/,Argentina,/,Psiloptera,tucomana,Dorsal,rbi_224.jpg
Buprestidae,/,Brazil,EspÃ­rito Santo,Psiloptera,attenuata,Dorsal,rbi_225.jpg
Buprestidae,/,French Guiana,Saint-Laurent-du-Maroni,Psiloptera,equestris,Dorsal,rbi_226.jpg
Buprestidae,/,/,/,Psiloptera,hirtomaculata,Dorsal,rbi_227.jpg
Buprestidae,/,Brazil,Bahia,Psiloptera,hoffmanni,Dorsal,rbi_228.jpg
Buprestidae,/,"Venezuela, Bolivarian Republic of",/,Psiloptera,nigroviolacea,Dorsal,rbi_229.jpg
Buprestidae,/,"Tanzania, United Republic of",/,Steraspis,ambigua,Dorsal,rbi_230.jpg
Buprestidae,/,South Africa,Zululand,Steraspis,ambigua,Dorsal,rbi_231.jpg
Buprestidae,/,South Africa,Zululand,Steraspis,ambigua,Lateral,rbi_232.jpg
Buprestidae,/,Somalia,Woqooyi Galbeed,Steraspis,argodi,Ventral,rbi_233.jpg
Buprestidae,/,Somalia,Woqooyi Galbeed,Steraspis,argodi,Dorsal,rbi_234.jpg
Buprestidae,/,CÃ´te d'Ivoire,/,Steraspis,colossa,Dorsal,rbi_235.jpg
Buprestidae,/,Central African Republic,/,Steraspis,lemoulti,Dorsal,rbi_236.jpg
Buprestidae,/,Central African Republic,/,Steraspis,lemoulti,Ventral,rbi_237.jpg
Buprestidae,/,Algeria,/,Steraspis,lesnei,Dorsal,rbi_238.jpg
Buprestidae,/,Algeria,/,Steraspis,lesnei,Ventral,rbi_239.jpg
Buprestidae,/,Kenya,/,Sternocera,boucardi,Dorsal,rbi_242.jpg
Buprestidae,/,Ethiopia,"Southern Nations, Nationalities, and People's Region",Sternocera,castanea,Dorsal,rbi_243.jpg
Buprestidae,/,Ethiopia,"Southern Nations, Nationalities, and People's Region",Sternocera,castanea,Lateral,rbi_244.jpg
Buprestidae,/,Senegal,/,Sternocera,castanea,Dorsal,rbi_245.jpg
Buprestidae,/,/,Â Asia Meridional,Sternocera,chrysis,Dorsal,rbi_246.jpg
Buprestidae,/,Djibouti,/,Sternocera,genrei,Dorsal,rbi_248.jpg
Buprestidae,/,"Tanzania, United Republic of",/,Sternocera,hildebrandti,Dorsal,rbi_249.jpg
Buprestidae,/,Uganda,Southern Uganda,Sternocera,hunteri,Dorsal,rbi_250.jpg
Buprestidae,/,/,/,Sternocera,interrupta,Dorsal,rbi_251.jpg
Buprestidae,/,Vietnam,/,Sternocera,multipunctata,Dorsal,rbi_253.jpg
Buprestidae,/,"Tanzania, United Republic of",Lake Nyassa,Sternocera,pulchra,Dorsal,rbi_254.jpg
Buprestidae,/,/,/,Sternocera,sternicornis,Dorsal,rbi_255.jpg
Buprestidae,/,/,/,Sternocera,sternicornis,Lateral,rbi_256.jpg
Buprestidae,/,Ethiopia,Shewa,Sternocera,syriaca,Dorsal,rbi_257.jpg
Buprestidae,/,Ethiopia,Shewa,Sternocera,syriaca,Lateral,rbi_258.jpg
Buprestidae,/,Australia,/,Stigmodera,carpentariae,Dorsal,rbi_259.jpg
Buprestidae,/,Australia,Western Australia,Stigmodera,elegans,Dorsal,rbi_260.jpg
Buprestidae,/,Australia,Western Australia,Stigmodera,elegans,Dorsal,rbi_261.jpg
Buprestidae,/,Australia,Western Australia,Stigmodera,gratiosa,Dorsal,rbi_262.jpg
Buprestidae,/,Australia,Western Australia,Stigmodera,gratiosa,Dorsal,rbi_263.jpg
Buprestidae,/,Australia,New South Wales,Stigmodera,jacquinoti,Dorsal,rbi_264.jpg
Buprestidae,/,Australia,Queensland,Stigmodera,porosa,Dorsal,rbi_265.jpg
Buprestidae,/,Australia,Western Australia,Stigmodera,roei,Dorsal,rbi_266.jpg
Buprestidae,/,Australia,Western Australia,Themognatha,tibialis,Dorsal,rbi_304.jpg
Buprestidae,/,Australia,Victoria,Stigmodera,sanguinosa,Dorsal,rbi_267.jpg
Buprestidae,/,Australia,New South Wales,Stigmodera,tyrhena,Dorsal,rbi_268.jpg
Buprestidae,/,Australia,Western Australia,Stigmodera,varicollis,Dorsal,rbi_269.jpg
Buprestidae,/,Australia,Western Australia,Stigmodera,varicollis,Dorsal,rbi_270.jpg
Buprestidae,/,Australia,Queensland,Stigmodera,walfordi,Dorsal,rbi_271.jpg
Buprestidae,/,China,Yunnan,Tanzalinia,psilopteroides,Dorsal,rbi_272.jpg
Buprestidae,/,China,Yunnan,Tanzalinia,psilopteroides,Ventral,rbi_273.jpg
Buprestidae,/,Australia,New South Wales,Themognatha,affinis,Dorsal,rbi_274.jpg
Buprestidae,/,Australia,New South Wales,Themognatha,affinis,Dorsal,rbi_275.jpg
Buprestidae,/,Australia,New South Wales,Themognatha,affinis,Dorsal,rbi_276.jpg
Buprestidae,/,Australia,New South Wales,Themognatha,affinis,Dorsal,rbi_277.jpg
Buprestidae,/,Australia,/,Themognatha,affinis,Dorsal,rbi_278.jpg
Buprestidae,/,Australia,New South Wales,Themognatha,affinis,Dorsal,rbi_279.jpg
Buprestidae,/,Australia,New South Wales,Themognatha,apicenigra,Dorsal,rbi_280.jpg
Buprestidae,/,Australia,Queensland,Themognatha,apicenigra,Dorsal,rbi_281.jpg
Buprestidae,/,Australia,New South Wales,Themognatha,apicenigra,Ventral,rbi_282.jpg
Buprestidae,/,Australia,New South Wales,Themognatha,barbiventris,Dorsal,rbi_283.jpg
Buprestidae,/,Australia,New South Wales,Themognatha,barbiventris,Ventral,rbi_284.jpg
Buprestidae,/,Australia,Western Australia,Themognatha,bonvouloiri,Dorsal,rbi_285.jpg
Buprestidae,/,Australia,Western Australia,Themognatha,bonvouloiri,Dorsal,rbi_286.jpg
Buprestidae,/,Australia,Western Australia,Themognatha,bonvouloiri,Dorsal,rbi_287.jpg
Buprestidae,/,Australia,Western Australia,Themognatha,bonvouloiri,Dorsal,rbi_288.jpg
Buprestidae,/,Australia,Western Australia,Themognatha,chevrolati,Ventral,rbi_290.jpg
Buprestidae,/,Australia,South Australia,Themognatha,congener,Dorsal,rbi_291.jpg
Buprestidae,/,Australia,South Australia,Themognatha,congener,Ventral,rbi_292.jpg
Buprestidae,/,Australia,/,Themognatha,duponti,Dorsal,rbi_293.jpg
Buprestidae,/,Australia,Western Australia,Themognatha,grandis,Dorsal,rbi_294.jpg
Buprestidae,/,Australia,New South Wales,Themognatha,heros,Dorsal,rbi_295.jpg
Buprestidae,/,Australia,Western Australia,Themognatha,pascoei,Ventral,rbi_297.jpg
Buprestidae,/,Australia,New South Wales,Themognatha,praeterita,Dorsal,rbi_298.jpg
Buprestidae,/,Australia,New South Wales,Themognatha,praeterita,Dorsal,rbi_299.jpg
Buprestidae,/,Australia,Queensland,Themognatha,sanguineocincta,Dorsal,rbi_300.jpg
Buprestidae,/,Australia,New South Wales,Themognatha,spencei,Dorsal,rbi_301.jpg
Buprestidae,/,Australia,New South Wales,Themognatha,suturalis,Dorsal,rbi_302.jpg
Buprestidae,/,Australia,Western Australia,Themognatha,tibialis,Dorsal,rbi_303.jpg
Carabidae,/,"Congo, The Democratic Republic of the",Katanga,Anthia,crudelis,Dorsal,rbi_305.jpg
